        Pin Assignment Report - Prepared - project_top
        ______________________________________________

ACE -- Achronix CAD Environment -- Version 9.0.1 -- Build  405518 -- Date 2023-03-01 00:42

Design: vp_project - impl_1 - project_top
Device: AC7t1500
Generated on Mon May 15 11:07:14 PDT 2023
Host: simtool-5

Pin Assignment =======

   Port Name                            Direction  Pad/Macro                                                Placed  Device Port                 Pad/Macro Site                                                            Registered  Clock Domain                          Target Frequency (MHz) 
   ethernet_0_quad0_emac_pause_on[27]   IN         ethernet_0_quad0_emac_pause_on[27]_ipin                  Fixed   i_user_02_09_lut_17[8]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc8.ipin                    No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[26]   IN         ethernet_0_quad0_emac_pause_on[26]_ipin                  Fixed   i_user_02_09_lut_17[6]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc6.ipin                    No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[25]   IN         ethernet_0_quad0_emac_pause_on[25]_ipin                  Fixed   i_user_02_09_lut_17[5]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc5.ipin                    No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[24]   IN         ethernet_0_quad0_emac_pause_on[24]_ipin                  Fixed   i_user_02_09_lut_17[4]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc4.ipin                    No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[23]   IN         ethernet_0_quad0_emac_pause_on[23]_ipin                  Fixed   i_user_02_09_lut_17[3]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc3.ipin                    No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[22]   IN         ethernet_0_quad0_emac_pause_on[22]_ipin                  Fixed   i_user_02_09_lut_17[1]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc1.ipin                    No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[21]   IN         ethernet_0_quad0_emac_pause_on[21]_ipin                  Fixed   i_user_02_09_lut_17[0]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc0.ipin                    No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[20]   IN         ethernet_0_quad0_emac_pause_on[20]_ipin                  Fixed   i_user_02_09_lut_16[27]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc27.ipin                   No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[19]   IN         ethernet_0_quad0_emac_pause_on[19]_ipin                  Fixed   i_user_02_09_lut_16[26]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc26.ipin                   No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[18]   IN         ethernet_0_quad0_emac_pause_on[18]_ipin                  Fixed   i_user_02_09_lut_16[24]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc24.ipin                   No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[17]   IN         ethernet_0_quad0_emac_pause_on[17]_ipin                  Fixed   i_user_02_09_lut_16[23]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc23.ipin                   No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[16]   IN         ethernet_0_quad0_emac_pause_on[16]_ipin                  Fixed   i_user_02_09_lut_16[22]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc22.ipin                   No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[15]   IN         ethernet_0_quad0_emac_pause_on[15]_ipin                  Fixed   i_user_02_09_lut_16[21]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc21.ipin                   No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[14]   IN         ethernet_0_quad0_emac_pause_on[14]_ipin                  Fixed   i_user_02_09_lut_16[19]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc19.ipin                   No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[13]   IN         ethernet_0_quad0_emac_pause_on[13]_ipin                  Fixed   i_user_02_09_lut_16[18]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc18.ipin                   No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[12]   IN         ethernet_0_quad0_emac_pause_on[12]_ipin                  Fixed   i_user_02_09_lut_16[17]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc17.ipin                   No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[11]   IN         ethernet_0_quad0_emac_pause_on[11]_ipin                  Fixed   i_user_02_09_lut_16[16]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc16.ipin                   No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[10]   IN         ethernet_0_quad0_emac_pause_on[10]_ipin                  Fixed   i_user_02_09_lut_16[14]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc14.ipin                   No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[9]    IN         ethernet_0_quad0_emac_pause_on[9]_ipin                   Fixed   i_user_02_09_lut_16[13]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc13.ipin                   No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[8]    IN         ethernet_0_quad0_emac_pause_on[8]_ipin                   Fixed   i_user_02_09_lut_16[12]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc12.ipin                   No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[7]    IN         ethernet_0_quad0_emac_pause_on[7]_ipin                   Fixed   i_user_02_09_lut_16[11]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc11.ipin                   No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[6]    IN         ethernet_0_quad0_emac_pause_on[6]_ipin                   Fixed   i_user_02_09_lut_16[9]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc9.ipin                    No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[5]    IN         ethernet_0_quad0_emac_pause_on[5]_ipin                   Fixed   i_user_02_09_lut_16[8]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc8.ipin                    No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[4]    IN         ethernet_0_quad0_emac_pause_on[4]_ipin                   Fixed   i_user_02_09_lut_16[7]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc7.ipin                    No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[3]    IN         ethernet_0_quad0_emac_pause_on[3]_ipin                   Fixed   i_user_02_09_lut_16[4]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc4.ipin                    No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[2]    IN         ethernet_0_quad0_emac_pause_on[2]_ipin                   Fixed   i_user_02_09_lut_16[2]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc2.ipin                    No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[1]    IN         ethernet_0_quad0_emac_pause_on[1]_ipin                   Fixed   i_user_02_09_lut_16[1]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile16.sg.slc1.ipin                    No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_pause_on[0]    IN         ethernet_0_quad0_emac_pause_on[0]_ipin                   Fixed   i_user_02_09_mlp_03[27]     u_ic_north.u_ic_ns_lc01.u_ic_ns_bmlptile3.u_ic_ns_mlptile.sg.slc27.ipin   No          v_acx_sc_ETH_0_M0_FF_CLK              586.667                
   ethernet_0_quad0_emac_xoff_gen[31]   OUT        ethernet_0_quad0_emac_xoff_gen[31]_opin                  Fixed   o_user_02_09_lut_17[18]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc18.opin                   No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[30]   OUT        ethernet_0_quad0_emac_xoff_gen[30]_opin                  Fixed   o_user_02_09_lut_17[16]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc16.opin                   No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[29]   OUT        ethernet_0_quad0_emac_xoff_gen[29]_opin                  Fixed   o_user_02_09_lut_17[15]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc15.opin                   No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[28]   OUT        ethernet_0_quad0_emac_xoff_gen[28]_opin                  Fixed   o_user_02_09_lut_17[14]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc14.opin                   No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[27]   OUT        ethernet_0_quad0_emac_xoff_gen[27]_opin                  Fixed   o_user_02_09_lut_17[13]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc13.opin                   No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[26]   OUT        ethernet_0_quad0_emac_xoff_gen[26]_opin                  Fixed   o_user_02_09_lut_17[11]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc11.opin                   No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[25]   OUT        ethernet_0_quad0_emac_xoff_gen[25]_opin                  Fixed   o_user_02_09_lut_17[10]     u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc10.opin                   No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[24]   OUT        ethernet_0_quad0_emac_xoff_gen[24]_opin                  Fixed   o_user_02_09_lut_17[9]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc9.opin                    No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[23]   OUT        ethernet_0_quad0_emac_xoff_gen[23]_opin                  Fixed   o_user_02_09_lut_17[8]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc8.opin                    No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[22]   OUT        ethernet_0_quad0_emac_xoff_gen[22]_opin                  Fixed   o_user_02_09_lut_17[6]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc6.opin                    No          ---                                   ---                    
   ethernet_0_quad0_emac_xoff_gen[21]   OUT        ethernet_0_quad0_emac_xoff_gen[21]_opin                  Fixed   o_user_02_09_lut_17[5]      u_ic_north.u_ic_ns_lc01.u_ic_ns_luttile17.sg.slc5.opin                    No          ---                                   ---                    
